x, y
0.20533313758682126, 33.99999641927112
0.24800002864583093, 35.06666869574637
0.290666561631953, 36.13333202039942
0.3226664613715443, 36.93332951388919
0.3599998567708451, 38.00000179036445
0.3973332521701456, 39.06666511501749
0.4399997851562673, 40.13332843967054
0.4773331805555681, 40.93333488498251
0.5093330802951594, 41.73333237847231
0.5413333381076386, 42.799995703125354
0.5786663754340515, 43.86666797960058
0.6266664040798828, 44.93333130425363
0.658666661892361, 45.99999462890669
0.690666561631953, 46.80000107421867
0.7333330946180749, 47.86666439887172
0.7706664900173754, 48.933327723524776
0.8079998854166759, 49.73333416883674
